Specimen|Name|Speed|odds|dna|Life|incubMin|atk1|atk1p|atk2|atk2p|bank|unlockattack|Type|reciper|abilities|abilityPct1|abilityPct2|orbSlots
Specimen_CA_01| Enforcer|240|80| CA|1567|10| 485| 728| 485| 728|42| 1:1:c;2:5:a;2p:15:a;1p:10:c| | | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n
Specimen_CB_01| Blade Banshee|160|20| CB|1280|10| 299| 450| 299| 450|42| 1:1:c;2:5:b;2p:15:b;1p:10:c| | | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;s:20h
Specimen_CC_01| Nordic Knightmare|210|40| CC|1843|60| 515| 774| 296:AOE| 444:AOE|42| 1:1:c;2:5:c;1p:10:c;2p:15:c| | | 1:ability_retaliate;2:ability_retaliate_plus|-15|-40| n;s:20h
Specimen_CD_01| Honey Bunny|90|80| CD|1085|240| 181| 271| 181| 271|42| 1:1:c;2:5:d;2p:15:d;1p:10:c| | | 1:ability_retaliate;2:ability_retaliate_plus|-15|-20| n
Specimen_CE_01| Martian Marauder|115|20| CE|1109|1260| 210| 345| 210| 345|42| 1:1:c;2:5:e;2p:15:e;1p:10:c| | | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;s:20h
Specimen_CF_01| Valkyrie|200|80| CF|1556|600| 417| 625| 417| 625|42| 1:1:c;2:5:f;2p:15:f;1p:10:c| | | 1:ability_retaliate;2:ability_retaliate_plus|-15|-44| n
Specimen_D_01| Beast|200|40| D|1613|180| 426| 640| 426| 640|42| 1:1:d;2:5:neutre;1p:10:d;2p:15:neutre| | | 1:ability_slash;2:ability_slash_plus|-20|-30| n;s:20h
Specimen_DA_01| ReptoÃ¯d|150|20| DA|1492|720| 298| 485| 298| 485|42| 1:1:d;2:5:a;2p:15:a;1p:10:d| | | 1:ability_slash;2:ability_slash_plus|-20|-40| n;s:20h
Specimen_DB_01| Cerberus|170|80| DB|1485|240| 320| 481| 320| 481|42| 1:1:d;2:5:b;2p:15:b;1p:10:d| | | 1:ability_slash;2:ability_slash_plus|-20|-55| n
Specimen_DC_01| Rakshasa|140|20| DC|1444|720| 275| 414| 275| 414|42| 1:1:d;2:5:c;2p:15:c;1p:10:d| | | 1:ability_slash;2:ability_slash_plus|-20|-50| n;s:20h
Specimen_DD_01| Kaiju Kitty|180|40| DD|1859|360| 431| 646| 248:AOE| 373:AOE|42| 1:1:d;2:5:d;1p:10:d;2p:15:d| | | 1:ability_slash;2:ability_slash_plus|-20|-50| n;s:20h
Specimen_DE_01| Parasite Queen|130|80| DE|1316|540| 231| 347| 231| 347|42| 1:1:d;2:5:e;2p:15:e;1p:10:d| | | 1:ability_slash;2:ability_slash_plus|-20|-70| n
Specimen_DF_01| Dracus Nobilis|300|20| DF|1882|1440| 639| 960| 639| 960|42| 1:1:d;2:5:f;2p:15:f;1p:10:d| | | 1:ability_slash;2:ability_slash_plus|-20|-40| n;s:20h
Specimen_E_01| Alien|90|40| E|1049|360| 165| 250| 165| 250|42| 1:1:e;2:5:neutre;1p:10:e;2p:15:neutre| | | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;s:20h
Specimen_EA_01| Planet Cleaner|280|20| EA|1802|1260| 632| 950| 632| 950|42| 1:1:e;2:5:a;2p:15:a;1p:10:e| | | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;s:20h
Specimen_EB_01| Tutti Gooey|230|20| EB|1648|1260| 499| 749| 499| 749|42| 1:1:e;2:5:b;2p:15:b;1p:10:e| | | 1:ability_strengthen;2:ability_strengthen_plus|20|35| n;s:20h
Specimen_EC_01| Bounty Bug|190|80| EC|1403|420| 366| 549| 366| 549|42| 1:1:e;2:5:c;2p:15:c;1p:10:e| | | 1:ability_strengthen;2:ability_strengthen_plus|20|35| n
Specimen_ED_01| Xenos|120|20| ED|1151|1440| 232| 350| 232| 350|42| 1:1:e;2:5:d;2p:15:d;1p:10:e| | | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;s:20h
Specimen_EE_01| Astro Surfer|260|40| EE|2025|720| 671| 1006| 385:AOE| 579:AOE|42| 1:1:e;2:5:e;1p:10:e;2p:15:e| | | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;s:20h
Specimen_EF_01| Nebulon|170|80| EF|1318|900| 322| 484| 322| 484|42| 1:1:e;2:5:f;2p:15:f;1p:10:e| | | 1:ability_strengthen;2:ability_strengthen_plus|20|35| n
Specimen_F_01| Demon|210|40| F|1627|540| 461| 690| 461| 690|42| 1:1:f;2:5:neutre;1p:10:f;2p:15:neutre| | | 1:ability_weaken;2:ability_weaken_plus|-20|-30| n;s:20h
Specimen_FA_01| Techno TaoÃ¯st|250|80| FA|1590|600| 512| 769| 512| 769|42| 1:1:f;2:5:a;2p:15:a;1p:10:f| | | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n
Specimen_FB_01| Grim Reapress|290|20| FB|1829|1440| 660| 992| 660| 992|42| 1:1:f;2:5:b;2p:15:b;1p:10:f| | | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;s:20h
Specimen_FC_01| Gandolphus|110|20| FC|1137|1440| 204| 377| 204| 377|42| 1:1:f;2:5:c;2p:15:c;1p:10:f| | | 1:ability_weaken;2:ability_weaken_plus|-15|-40| n;s:20h
Specimen_FD_01| Medusa|220|80| FD|1507|720| 436| 654| 436| 654|42| 1:1:f;2:5:d;2p:15:d;1p:10:f| | | 1:ability_weaken;2:ability_weaken_plus|-20|-25| n
Specimen_FE_01| C'thlig|270|20| FE|1645|1440| 563| 844| 563| 844|42| 1:1:f;2:5:e;2p:15:e;1p:10:f| | | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;s:20h
Specimen_FF_01| Pit Lord|300|40| FF|2583|1080| 949| 1424| 545:AOE| 820:AOE|42| 1:1:f;2:5:f;1p:10:f;2p:15:f| | | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;s:20h
Specimen_A_02| Weak Robot|353|0| A|500|180| 60| 138| 276| 525|42| 1:1:a;2:5:neutre;1p:10:a;2p:15:neutre| | | 1:ability_shield;2:ability_shield_plus|20|30| n;s:20h
Specimen_B_02| Weak Zombie|268|0| B|400|180| 150| 315| 252| 327|42| 1:1:b;2:5:neutre;1p:10:b;2p:15:neutre| | | 1:ability_regen;2:ability_regen_plus|25|35| n;s:20h
Specimen_C_02| Weak Warrior|275|0| C|300|180| 150| 375| 300| 372|42| 1:1:c;2:5:neutre;1p:10:c;2p:15:neutre| | | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;s:20h
Specimen_AA_02| Goliath|260|0| AA|3676|60| 1199| 1999| 689:AOE| 1334:AOE|42| 1:1:a;2:5:a;1p:10:a;2p:15:a| CAPTAINPEACE| | 1:ability_shield;2:ability_shield_plus|20|40| n;n;s
Specimen_AB_02| The Darkseer|240|120| AB|1554|360| 490| 735| 490| 735|42| 1:1:a;2:5:b;2p:15:b;1p:10:a| RECIPE| CB_02xAC_02+FB_01xAF_01| 1:ability_weaken;2:ability_weaken_plus|-20|-30| n;n;s:20h
Specimen_AC_02| Captain Wrenchfury|210|120| AC|2342|360| 474| 811| 474| 811|42| 1:1:a;2:5:c;2p:15:c;1p:10:a| RECIPE| AA_01xCE_01+BA_02xCB_02| 1:ability_regen;2:ability_regen_plus|30|60| n;n;s:20h
Specimen_AD_02| Monocerus|190|2| AD|1577|180| 420| 631| 420| 631|42| 1:1:a;2:5:d;2p:15:d;1p:10:a| LEGEND| | 1:ability_shield;2:ability_shield_plus|20|44| n;n;s
Specimen_AE_02| Libraro|110|0| AE|2546|60| 308| 614| 308| 614|42| 1:1:a;2:5:e;2p:15:e;1p:10:a| ZODIAC| | 1:ability_shield;2:ability_shield_plus|23|40| n;n;s
Specimen_AF_02| Virgon|95|0| AF|1931|60| 255| 583| 255| 583|42| 1:1:a;2:5:f;2p:15:f;1p:10:a| ZODIAC| | 1:ability_shield;2:ability_shield_plus|30|70| n;n;s
Specimen_BA_02| Terrordoll|130|120| BA|1739|360| 236| 374| 236| 374|42| 1:1:b;2:5:a;2p:15:a;1p:10:b| RECIPE| CB_02xAC_01+BD_01xDA_01| 1:ability_retaliate;2:ability_retaliate_plus|-15|-28| n;n;s:20h
Specimen_BB_02| Crypt Wraith|140|80| BB|1758|60| 339| 509| 195:AOE| 291:AOE|42| 1:1:b;2:5:b;1p:10:b;2p:15:b| PVP| BB_02x[A-F][A-F]_*+BB_02x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|50| n;n;s:20h
Specimen_BC_02| Captain Bag â€˜Oâ€™ Bones|180|120| BC|1351|360| 347| 520| 347| 520|42| 1:1:b;2:5:c;2p:15:c;1p:10:b| RECIPE| AB_02xAC_02+BD_01xCC_01| 1:ability_strengthen;2:ability_strengthen_plus|20|35| n;n;s:20h
Specimen_BD_02| Cancernia|210|0| BD|2449|60| 636| 1184| 636| 1184|42| 1:1:b;2:5:d;2p:15:d;1p:10:b| ZODIAC| | 1:ability_regen;2:ability_regen_plus|30|65| n;n;s
Specimen_BE_02| Caprika|150|0| BE|1837|60| 531| 1055| 531| 1055|42| 1:1:b;2:5:e;2p:15:e;1p:10:b| ZODIAC| | 1:ability_regen;2:ability_regen_plus|30|60| n;n;s
Specimen_BF_02| Lichlock|110|80| BF|2111|60| 220| 331| 220| 331|42| 1:1:b;2:5:f;2p:15:f;1p:10:b| PVP| BF_02x[A-F][A-F]_*+BF_02x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|54| n;n;s:20h
Specimen_CA_02| Interceptrix|140|120| CA|1189|360| 257| 385| 257| 385|42| 1:1:c;2:5:a;2p:15:a;1p:10:c| RECIPE| BC_02xBA_02+FC_01xAF_01| 1:ability_weaken;2:ability_weaken_plus|-20|-30| n;n;s:20h
Specimen_CB_02| Bushi|260|120| CB|1770|360| 540| 811| 540| 811|42| 1:1:c;2:5:b;2p:15:b;1p:10:c| RECIPE| BA_01xAC_01+EB_01xCE_01| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s:20h
Specimen_CC_02| Buck Maurice|300|3| CC|2920|180| 996| 1508| 593:AOE| 889:AOE|42| 1:1:c;2:5:c;1p:10:c;2p:15:c| LEGEND| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-22| n;n;s
Specimen_CD_02| Sagittaurius|200|0| CD|1855|60| 740| 1330| 740| 1330|42| 1:1:c;2:5:d;2p:15:d;1p:10:c| ZODIAC| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-30| n;n;s
Specimen_CE_02| Geminium|230|0| CE|2503|60| 706| 1060| 706| 1060|42| 1:1:c;2:5:e;2p:15:e;1p:10:c| ZODIAC| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-40| n;n;s
Specimen_CF_02| Thor|290|2| CF|1917|180| 700| 1050| 700| 1050|42| 1:1:c;2:5:f;2p:15:f;1p:10:c| LEGEND| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_DA_02| Arachno|270|80| DA|2208|60| 641| 808| 641| 808|42| 1:1:d;2:5:a;2p:15:a;1p:10:d| PVP| DA_02x[A-F][A-F]_*+DA_02x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-80| n;n;s:20h
Specimen_DB_02| Zombat|85|80| DB|1145|60| 162| 243| 162| 243|42| 1:1:d;2:5:b;2p:15:b;1p:10:d| PVP| DB_02x[A-F][A-F]_*+DB_02x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-80| n;n;s:20h
Specimen_DC_02| Leohart|240|0| DC|2155|60| 799| 1314| 799| 1314|42| 1:1:d;2:5:c;2p:15:c;1p:10:d| ZODIAC| | 1:ability_slash;2:ability_slash_plus|-20|-45| n;n;s
Specimen_DD_02| Master Splitter|260|80| DD|2120|60| 711| 1068| 409:AOE| 614:AOE|42| 1:1:d;2:5:d;1p:10:d;2p:15:d| PVP| DD_02x[A-F][A-F]_*+DD_02x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s:20h
Specimen_DE_02| Cosmo Kong|230|2| DE|1762|180| 491| 737| 491| 737|42| 1:1:d;2:5:e;2p:15:e;1p:10:d| LEGEND| | 1:ability_slash;2:ability_slash_plus|-20|-50| n;n;s
Specimen_DF_02| Satyr Shaman|150|80| DF|1457|60| 295| 444| 295| 444|42| 1:1:d;2:5:f;2p:15:f;1p:10:d| PVP| DF_02x[A-F][A-F]_*+DF_02x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-50| n;n;s:20h
Specimen_EA_02| Sentry|160|2| EA|1445|180| 342| 515| 342| 515|42| 1:1:e;2:5:a;2p:15:a;1p:10:e| LEGEND| | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_EB_02| Sirenia|130|80| EB|1295|60| 269| 473| 269| 473|42| 1:1:e;2:5:b;2p:15:b;1p:10:e| PVP| EB_02x[A-F][A-F]_*+EB_02x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|40| n;n;s:20h
Specimen_EC_02| Behemoth|280|80| EC|1753|60| 622| 934| 622| 934|42| 1:1:e;2:5:c;2p:15:c;1p:10:e| PVP| EC_02x[A-F][A-F]_*+EC_02x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s:20h
Specimen_ED_02| Shell Shock|220|80| ED|1570|60| 465| 699| 465| 699|42| 1:1:e;2:5:d;2p:15:d;1p:10:e| PVP| ED_02x[A-F][A-F]_*+ED_02x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|35| n;n;s:20h
Specimen_EE_02| Supernovus|190|80| EE|1830|60| 488| 733| 280:AOE| 420:AOE|42| 1:1:e;2:5:e;1p:10:e;2p:15:e| PVP| EE_02x[A-F][A-F]_*+EE_02x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|35| n;n;s:20h
Specimen_EF_02| Mr Marvelous|200|0| EF|2986|60| 438| 616| 438| 616|42| 1:1:e;2:5:f;2p:15:f;1p:10:e| GACHA| | 1:ability_strengthen;2:ability_strengthen_plus|30|60| n;n;s
Specimen_FA_02| Mekali|150|80| FA|1407|60| 320| 481| 320| 481|42| 1:1:f;2:5:a;2p:15:a;1p:10:f| PVP| FA_02x[A-F][A-F]_*+FA_02x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s:20h
Specimen_FB_02| Prince Scorpion|175|0| FB|2568|60| 524| 930| 524| 930|42| 1:1:f;2:5:b;2p:15:b;1p:10:f| ZODIAC| | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FC_02| Captain Peace|250|0| FC|3290|60| 1074| 1609| 1074| 1609|42| 1:1:f;2:5:c;2p:15:c;1p:10:f| CAPTAINPEACE| | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FD_02| Horus|115|120| FD|1257|720| 234| 564| 234| 564|42| 1:1:f;2:5:d;2p:15:d;1p:10:f| RECIPE| ED_01xFE_01+DF_01xFF_01| 1:ability_shield;2:ability_shield_plus|20|30| n;n;s:20h
Specimen_FE_02| Azuria|170|80| FE|1386|60| 342| 513| 342| 513|42| 1:1:f;2:5:e;2p:15:e;1p:10:f| PVP| FE_02x[A-F][A-F]_*+FE_02x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s:20h
Specimen_FF_02| Retribution|180|80| FF|1781|60| 456| 686| 263:AOE| 394:AOE|42| 1:1:f;2:5:f;1p:10:f;2p:15:f| PVP| FF_02x[A-F][A-F]_*+FF_02x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s:20h
Specimen_AA_03| H.U.M.A.N.|200|1| AA|1878|180| 518| 778| 298:AOE| 448:AOE|42| 1:1:a;2:5:a;1p:10:a;2p:15:a| LEGEND| | 1:ability_shield;2:ability_shield_plus|20|40| n;n;s
Specimen_AB_03| Xenarach|190|80| AB|1464|60| 390| 586| 390| 586|42| 1:1:a;2:5:b;2p:15:b;1p:10:a| PVP| AB_03x[A-F][A-F]_*+AB_03x[A-F]_*| 1:ability_shield;2:ability_shield_plus|20|40| n;n;s:20h
Specimen_AC_03| Dezinger|290|2| AC|2394|180| 696| 1024| 696| 1024|42| 1:1:a;2:5:c;2p:15:c;1p:10:a| LEGEND| | 1:ability_shield;2:ability_shield_plus|25|40| n;n;s
Specimen_AD_03| Taurider|100|0| AD|1712|60| 395| 815| 395| 815|42| 1:1:a;2:5:d;2p:15:d;1p:10:a| ZODIAC| | 1:ability_shield;2:ability_shield_plus|27|35| n;n;s
Specimen_AE_03| Invadron|280|1| AE|1888|180| 670| 1006| 670| 1006|42| 1:1:a;2:5:e;2p:15:e;1p:10:a| LEGEND| | 1:ability_shield;2:ability_shield_plus|20|30| n;n;s
Specimen_AF_03| Halbeard|240|20| AF|1966|60| 778| 1167| 778| 1167|42| 1:1:a;2:5:f;2p:15:f;1p:10:a| LEGEND| AF_03x[A-F][A-F]_*+AF_03x[A-F]_*| 1:ability_shield;2:ability_shield_plus|17|25| n;n;s
Specimen_BA_03| Triple-B|280|2| BA|1982|180| 639| 960| 639| 960|42| 1:1:b;2:5:a;2p:15:a;1p:10:b| LEGEND| | 1:ability_regen;2:ability_regen_plus|30|48| n;n;s
Specimen_BB_03| Cursed Rider|100|3| BB|2080|180| 228| 319| 133:AOE| 198:AOE|42| 1:1:b;2:5:b;1p:10:b;2p:15:b| LEGEND| | 1:ability_regen;2:ability_regen_plus|30|45| n;n;s
Specimen_BC_03| Micky Krueger|130|20| BC|1414|60| 331| 497| 331| 497|42| 1:1:b;2:5:c;2p:15:c;1p:10:b| LEGEND| BC_03x[A-F][A-F]_*+BC_03x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|50| n;n;s
Specimen_BD_03| Scare Bear|160|1| BD|1501|180| 328| 494| 328| 494|42| 1:1:b;2:5:d;2p:15:d;1p:10:b| LEGEND| | 1:ability_regen;2:ability_regen_plus|35|50| n;n;s
Specimen_BE_03| Humongous|210|80| BE|1838|60| 473| 710| 473| 710|42| 1:1:b;2:5:e;2p:15:e;1p:10:b| PVP| BE_03x[A-F][A-F]_*+BE_03x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|55| n;n;s:20h
Specimen_BF_03| Rammerhead|270|0| BF|2987|60| 883| 1551| 883| 1551|42| 1:1:b;2:5:f;2p:15:f;1p:10:b| ZODIAC| | 1:ability_regen;2:ability_regen_plus|30|45| n;n;s
Specimen_CA_03| General Chaos|190|80| CA|1464|60| 390| 586| 390| 586|42| 1:1:c;2:5:a;2p:15:a;1p:10:c| PVP| CA_03x[A-F][A-F]_*+CA_03x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-15|-40| n;n;s:20h
Specimen_CB_03| Ragnar|210|2| CB|1577|180| 455| 683| 455| 683|42| 1:1:c;2:5:b;2p:15:b;1p:10:c| LEGEND| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-40| n;n;s
Specimen_CC_03| Zena|90|20| CC|846|60| 352| 501| 177:AOE| 350:AOE|42| 1:1:c;2:5:c;1p:10:c;2p:15:c| LEGEND| CC_03x[A-F][A-F]_*+CC_03x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-15|-20| n;n;s
Specimen_CD_03| Haggis|270|80| CD|1860|60| 641| 961| 641| 961|42| 1:1:c;2:5:d;2p:15:d;1p:10:c| PVP| CD_03x[A-F][A-F]_*+CD_03x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s:20h
Specimen_CE_03| Galactic Guardian|290|1| CE|1780|180| 650| 975| 650| 975|42| 1:1:c;2:5:e;2p:15:e;1p:10:c| LEGEND| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_CF_03| Tinker Blade|110|20| CF|746|60| 220| 746| 220| 746|42| 1:1:c;2:5:f;2p:15:f;1p:10:c| LEGEND| CF_03x[A-F][A-F]_*+CF_03x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_DA_03| Mantidroid|220|120| DA|1755|360| 475| 981| 475| 981|42| 1:1:d;2:5:a;2p:15:a;1p:10:d| RECIPE| FD_02xCA_02+DC_01xAC_01| 1:ability_regen;2:ability_regen_plus|25|42| n;n;s:20h
Specimen_DB_03| Cobrakai|260|2| DB|1856|180| 569| 854| 569| 854|42| 1:1:d;2:5:b;2p:15:b;1p:10:d| LEGEND| | 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_DC_03| Gargantus|210|0| DC|1914|60| 501| 802| 501| 802|42| 1:1:d;2:5:c;2p:15:c;1p:10:d| GACHA| | 1:ability_slash;2:ability_slash_plus|-50|-75| n;n;s
Specimen_DD_03| Psychoboar|120|20| DD|1803|60| 283| 425| 164:AOE| 245:AOE|42| 1:1:d;2:5:d;1p:10:d;2p:15:d| LEGEND| DD_03x[A-F][A-F]_*+DD_03x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_DE_03| Slashog|100|80| DE|1204|60| 182| 275| 182| 275|42| 1:1:d;2:5:e;2p:15:e;1p:10:d| PVP| DE_03x[A-F][A-F]_*+DE_03x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-70| n;n;s:20h
Specimen_DF_03| Absolem|220|2| DF|1772|180| 481| 721| 481| 721|42| 1:1:d;2:5:f;2p:15:f;1p:10:d| LEGEND| | 1:ability_slash;2:ability_slash_plus|-20|-50| n;n;s
Specimen_EA_03| Exo Fish|115|0| EA|1665|60| 381| 731| 381| 731|42| 1:1:e;2:5:a;2p:15:a;1p:10:e| ZODIAC| | 1:ability_strengthen;2:ability_strengthen_plus|22|40| n;n;s
Specimen_EB_03| The Devourer|290|120| EB|2073|720| 637| 1084| 637| 1084|42| 1:1:e;2:5:b;2p:15:b;1p:10:e| RECIPE| FE_03xBA_02+EA_01xBA_01| 1:ability_shield;2:ability_shield_plus|20|30| n;n;s:20h
Specimen_EC_03| Star Trooper|90|1| EC|1184|180| 233| 367| 233| 367|42| 1:1:e;2:5:c;2p:15:c;1p:10:e| LEGEND| | 1:ability_strengthen;2:ability_strengthen_plus|16|24| n;n;s
Specimen_ED_03| Wampara|250|2| ED|1714|180| 557| 836| 557| 836|42| 1:1:e;2:5:d;2p:15:d;1p:10:e| LEGEND| | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_EE_03| Master Oida|140|3| EE|1568|180| 339| 509| 195:AOE| 291:AOE|42| 1:1:e;2:5:e;1p:10:e;2p:15:e| LEGEND| | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_EF_03| Aquapunzel|275|0| EF|3089|60| 858| 1288| 858| 1288|42| 1:1:e;2:5:f;2p:15:f;1p:10:e| ZODIAC| | 1:ability_strengthen;2:ability_strengthen_plus|20|35| n;n;s
Specimen_FA_03| Bazzinger|200|20| FA|1502|60| 414| 622| 414| 622|42| 1:1:f;2:5:a;2p:15:a;1p:10:f| LEGEND| FA_03x[A-F][A-F]_*+FA_03x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FB_03| Anubis|230|2| FB|1725|180| 529| 794| 529| 794|42| 1:1:f;2:5:b;2p:15:b;1p:10:f| LEGEND| | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FC_03| Oriax|280|0| FC|3944|60| 1187| 1780| 1187| 1780|42| 1:1:f;2:5:c;2p:15:c;1p:10:f| CAPTAINPEACE| | 1:ability_weaken;2:ability_weaken_plus|-20|-30| n;n;s
Specimen_FD_03| Ivory Hanzo|270|0| FD|1924|60| 879| 1545| 879| 1545|42| 1:1:f;2:5:d;2p:15:d;1p:10:f| GACHA| | 1:ability_weaken;2:ability_weaken_plus|-20|-30| n;n;s
Specimen_FE_03| Astro Magician|230|20| FE|1602|60| 491| 737| 491| 737|42| 1:1:f;2:5:e;2p:15:e;1p:10:f| LEGEND| FE_03x[A-F][A-F]_*+FE_03x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FF_03| Blood Berry|130|3| FF|1922|180| 313| 469| 180:AOE| 270:AOE|42| 1:1:f;2:5:f;1p:10:f;2p:15:f| LEGEND| | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
