Specimen| Name| spX100| odds| dna| lifePoint| incubMin| atk1| atk1p| atk2| atk2p| bank| unlockAttack| type| recipes| abilities| abilityPct1| abilityPct2| orbSlots| Attack1p_name| Attack2p_name| Description
Specimen_EF_01| Nebulon| 170| 80| EF| 1318| 900| 322| 484| 322| 484| 42| 1:1:e;2:5:f;2p:15:f;1p:10:e| | | 1:ability_strengthen;2:ability_strengthen_plus| 20| 35| n| Phaser Strike| Sacred Palm| Some say man came from stars, others that an ancient race blended us as we do now to create Gene Arena contestants. Nebulon is created from the code of the creatures that created man
Specimen_F_01| Demon| 210| 40| F| 1627| 540| 461| 690| 461| 690| 42| 1:1:f;2:5:neutre;1p:10:f;2p:15:neutre| | | 1:ability_weaken;2:ability_weaken_plus| -20| -30| n;s:20h| Burning Attraction| Acidic Caress| It was playboy billionaire Max Real who first funded the research of blending genes to create mythical creatures for his own private wildlife park. After his unfortunate death at the hands of the roaming orc tribe all his research was turned over to Gene Arena. Now you can have the pleasure of seeing these incredible creations yourself!
Specimen_FA_01| Techno Taoïst| 250| 80| FA| 1590| 600| 512| 769| 512| 769| 42| 1:1:f;2:5:a;2p:15:a;1p:10:f| | | 1:ability_weaken;2:ability_weaken_plus| -15| -25| n| Khi Fury| Cabled Reflexes| From the Shaolin industrial zone, honor and technology collide in the cyber-samurai. Abandoning traditional weapons he can whip a crowd into a frenzy as he pulls apart his opponents with lightning fast strikes of pure power.
Specimen_FB_01| Grim Reapress| 290| 20| FB| 1829| 1440| 660| 992| 660| 992| 42| 1:1:f;2:5:b;2p:15:b;1p:10:f| | | 1:ability_weaken;2:ability_weaken_plus| -15| -25| n;s:20h| Doom Fall| Liquid Death| Mysterious and deadly, necro girls are the opposite of their male counterparts. And the Reapress is no exception, a total killer. She’ll break your heart boys or snuff it out!
Specimen_FC_01| Gandolphus| 110| 20| FC| 1137| 1440| 204| 377| 204| 377| 42| 1:1:f;2:5:c;2p:15:c;1p:10:f| | | 1:ability_weaken;2:ability_weaken_plus| -15| -40| n;s:20h| Spell Strike| Astral Sword| The arena is open to all, even those who seem past their prime. But with age comes knowledge and with knowledge comes power, do not judge this fancy dress shop santa from his clothes, but rather the arcane powers he wields with deadly precision. Get too close and he’ll skewer you for your lack of respect for elders and betters!
Specimen_FD_01| Medusa| 220| 80| FD| 1507| 720| 436| 654| 436| 654| 42| 1:1:f;2:5:d;2p:15:d;1p:10:f| | | 1:ability_weaken;2:ability_weaken_plus| -20| -25| n| Stoney Gaze| Hydra Poison| A sinister otherworldly beauty the medusa has beguiled many with her allure before swiftly ending their pathetic existence. Her bow isn’t cupid's and there’s poison in her caress, I didn’t know my ex-wife was competing!
Specimen_FE_01| C'thlig| 270| 20| FE| 1645| 1440| 563| 844| 563| 844| 42| 1:1:f;2:5:e;2p:15:e;1p:10:f| | | 1:ability_weaken;2:ability_weaken_plus| -15| -25| n;s:20h| Psionic Blast| Eye of Madness| There’s a reason man shouldn’t explore the dark place of the void and that reason is here. Every nightmare of a creature under the bed, something in the wardrobe… You don’t have to imagine, the living nightmare is here and nothing will stand before it!
Specimen_FF_01| Pit Lord| 300| 40| FF| 2583| 1080| 949| 1424| 545:AOE| 820:AOE| 42| 1:1:f;2:5:f;1p:10:f;2p:15:f| | | 1:ability_weaken;2:ability_weaken_plus| -15| -25| n;s:20h| Fist of Chaos| Hell Fire| From the depths of the fiery pits themselves comes the lord of the domain. Here to snuff out all who would stand before him and if he conquers the arena, what could be next for this dark lord!
Specimen_A_02| Weak Robot| 353| 0| A| 500| 180| 60| 138| 276| 525| 42| 1:1:a;2:5:neutre;1p:10:a;2p:15:neutre| | | 1:ability_shield;2:ability_shield_plus| 20| 30| n;s:20h| | | no description
Specimen_B_02| Weak Zombie| 268| 0| B| 400| 180| 150| 315| 252| 327| 42| 1:1:b;2:5:neutre;1p:10:b;2p:15:neutre| | | 1:ability_regen;2:ability_regen_plus| 25| 35| n;s:20h| | | no description
Specimen_C_02| Weak Warrior| 275| 0| C| 300| 180| 150| 375| 300| 372| 42| 1:1:c;2:5:neutre;1p:10:c;2p:15:neutre| | | 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;s:20h| | | no description
Specimen_AA_02| Goliath| 260| 0| AA| 3676| 60| 1199| 1999| 689:AOE| 1334:AOE| 42| 1:1:a;2:5:a;1p:10:a;2p:15:a| CAPTAINPEACE| | 1:ability_shield;2:ability_shield_plus| 20| 40| n;n;s| Mega Gun| Homing missiles| When the terrestrial forces decided to colonize the external borders of the Galaxy, troops of Goliath were sent to fulfill the mission. After several decades of war which ended in victory, it's now in the Arena that the Goliaths fight. Beware, cannons sometimes come in pairs!
Specimen_AB_02| The Darkseer| 240| 120| AB| 1554| 360| 490| 735| 490| 735| 42| 1:1:a;2:5:b;2p:15:b;1p:10:a| RECIPE| CB_02xAC_02+FB_01xAF_01| 1:ability_weaken;2:ability_weaken_plus| -20| -30| n;n;s:20h| Anthrax Thorax| Mini Me| Born from the nightmares of children, The Darkseer can clone miniature versions of itself which then see into the souls of opponents to find their biggest fears and weaknesses, which it can then use against them sending them into their own personal version of hell.
Specimen_AC_02| Captain Wrenchfury| 210| 120| AC| 2342| 360| 474| 811| 474| 811| 42| 1:1:a;2:5:c;2p:15:c;1p:10:a| RECIPE| AA_01xCE_01+BA_02xCB_02| 1:ability_regen;2:ability_regen_plus| 30| 60| n;n;s:20h| Missile Strike| Wrecking Wrench| Captain Wrenchfury is based on an old-fashioned robot design found from way back in the 2100s. The first prototype, orignially designed for domestic maintenance, never properly worked and the project was canned. However, once the Warrior gene was discovered the old designs were brought back to life in the form of a champion fighting machine.
Specimen_AD_02| Monocerus| 190| 2| AD| 1577| 180| 420| 631| 420| 631| 42| 1:1:a;2:5:d;2p:15:d;1p:10:a| LEGEND| | 1:ability_shield;2:ability_shield_plus| 20| 44| n;n;s| Head Shots| Enchanting Charge| During the 20th century, children dreamt about little fluffy ponies. Today, what they wish for are made of steel and blood. Their strikes have to echo in the Gene Arena and Monocerus is the perfect machine for that. With its target-tracking missile and devasting fury, it has become the toddlers' favorite toy.
Specimen_AE_02| Libraro| 110| 0| AE| 2546| 60| 308| 614| 308| 614| 42| 1:1:a;2:5:e;2p:15:e;1p:10:a| ZODIAC| | 1:ability_shield;2:ability_shield_plus| 23| 40| n;n;s| Blade Spin| Balance Beam| After many years of war within the solar system Libraro, the Librarons finally settled down as a peaceful and quiet race. However, the fear of war from other systems was still great so they prepared by training warriors in prestigious battle schools on every planet. Libraro represents this fighting style
Specimen_AF_02| Virgon| 95| 0| AF| 1931| 60| 255| 583| 255| 583| 42| 1:1:a;2:5:f;2p:15:f;1p:10:a| ZODIAC| | 1:ability_shield;2:ability_shield_plus| 30| 70| n;n;s| Beam Cluster| Astro Charge| The legendary Virgon is said to have an affinity with the inhabitants of the planet Mercurian, who used to pray to her for protection over the innocent. Although a mostly benevolent power she also has the ability to strike down those who provoke, using her legendary fragment guns.
Specimen_BA_02| Terrordoll| 130| 120| BA| 1739| 360| 236| 374| 236| 374| 42| 1:1:b;2:5:a;2p:15:a;1p:10:b| RECIPE| CB_02xAC_01+BD_01xDA_01| 1:ability_retaliate;2:ability_retaliate_plus| -15| -28| n;n;s:20h| Ghost in the Shell| Scissors of Revenge| Don't let the child-like exterior of the Terrordoll lull you into thinking that she will be an easy win. Her skills with a pair of scissors is no child's play and she can channel some pretty bad mojo to do most of her dirty work. Do not underestimate her abilities.
Specimen_BB_02| Crypt Wraith| 140| 80| BB| 1758| 60| 339| 509| 195:AOE| 291:AOE| 42| 1:1:b;2:5:b;1p:10:b;2p:15:b| PVP| BB_02x[A-F][A-F]_*+BB_02x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 30| 50| n;n;s:20h| Bone Spikes| Trap from Beyond| This Crypt Wraith confirms there's no rest for the wicked, unable to pass to the afterlife this hideous creature has found its way to the Arena to fulfill its bloodlust. Trinkets or spells won’t protect you from this Mutant as it attempts to send its victims to the afterlife.
Specimen_BC_02| Captain Bag ‘O’ Bones| 180| 120| BC| 1351| 360| 347| 520| 347| 520| 42| 1:1:b;2:5:c;2p:15:c;1p:10:b| RECIPE| AB_02xAC_02+BD_01xCC_01| 1:ability_strengthen;2:ability_strengthen_plus| 20| 35| n;n;s:20h| Prepare to board!| Feed the Fish!| Betrayed by a traitorous crew and sentenced to death at sea, Captain Bag ‘O’ Bones has risen from a watery grave to exact revenge on the land of the living, this undead Pirate Captain will give no quarter in the arena.
Specimen_BD_02| Cancernia| 210| 0| BD| 2449| 60| 636| 1184| 636| 1184| 42| 1:1:b;2:5:d;2p:15:d;1p:10:b| ZODIAC| | 1:ability_regen;2:ability_regen_plus| 30| 65| n;n;s| Skull Crush| Claw Grab| As legend goes a deadly race of crab-monsters lived on the small planet of Cancernia, many centuries ago. Eventually the race was almost completely wiped out by the inhabitants of the neighbouring planet Leo, home to a ferocious race of lion warriors. The last remaining Cancernias went deep underground and survived long enough to utilise their genes to produce the legendary Cancernia Mutant.
Specimen_BE_02| Caprika| 150| 0| BE| 1837| 60| 531| 1055| 531| 1055| 42| 1:1:b;2:5:e;2p:15:e;1p:10:b| ZODIAC| | 1:ability_regen;2:ability_regen_plus| 30| 60| n;n;s| Abyssal specters| Iridescence| Native of the Goat constellation, the Caprikas are solitary travelers going from planet to planet to increase their necromantic knowledge. Usually matched with unspeakable massacres, their performances in the Arena are enjoyed by young and old alike.
Specimen_BF_02| Lichlock| 110| 80| BF| 2111| 60| 220| 331| 220| 331| 42| 1:1:b;2:5:f;2p:15:f;1p:10:b| PVP| BF_02x[A-F][A-F]_*+BF_02x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 30| 54| n;n;s:20h| Death Omen| Mystic Strike| An undead warlock with some powerful magic under his hood. This is no magician, the Lichlock is the master of sorcery and the funnel of dark magic. Unleash him on your opponent's Mutants and watch the destruction that will follow.
Specimen_CA_02| Interceptrix| 140| 120| CA| 1189| 360| 257| 385| 257| 385| 42| 1:1:c;2:5:a;2p:15:a;1p:10:c| RECIPE| BC_02xBA_02+FC_01xAF_01| 1:ability_weaken;2:ability_weaken_plus| -20| -30| n;n;s:20h| Light Discs| Métamorphosis!| Interceptrix is the first mutant to come from a virtual world. No one is quite sure how this happened although rumors are she was initially created as a virtual reality training program for Baron Urban.
Specimen_CB_02| Bushi| 260| 120| CB| 1770| 360| 540| 811| 540| 811| 42| 1:1:c;2:5:b;2p:15:b;1p:10:c| RECIPE| BA_01xAC_01+EB_01xCE_01| 1:ability_slash;2:ability_slash_plus| -20| -40| n;n;s:20h| Samurai Slash| Death Breath| The only thing more deadly than a samurai is a deadly samurai who is dead. The ultimate of all warriors, the Bushi, has been bred from death, to cause death. Beware of his expert sword skills and don't let him catch you off-guard.
Specimen_CC_02| Buck Maurice| 300| 3| CC| 2920| 180| 996| 1508| 593:AOE| 889:AOE| 42| 1:1:c;2:5:c;1p:10:c;2p:15:c| LEGEND| | 1:ability_retaliate;2:ability_retaliate_plus| -15| -22| n;n;s| Close combat| Hitman| Born at the dawn of time in a galaxy far far away, Buck Maurice single handedly won both of the intergalactic wars using only a kitchen knife. Afterwards, with too much time on his hands and the need to fight a real challenger, Buck Maurice invented the science necessary to breed super-strong Mutants and spliced one of his own genes into his DNA to make him doubly strong.
Specimen_CD_02| Sagittaurius| 200| 0| CD| 1855| 60| 740| 1330| 740| 1330| 42| 1:1:c;2:5:d;2p:15:d;1p:10:c| ZODIAC| | 1:ability_retaliate;2:ability_retaliate_plus| -15| -30| n;n;s| Piercing Rain| Centaur Rage| From the forest Planet of Cirlu, the Sagittaurians are a race of expert archers, with skills honed in ritual hunts they have spread out across the galaxy to find new challenges. Sagittaurius arrives at the Arena to test his skills against fellow Mutants and win honor for his race.
Specimen_CE_02| Geminium| 230| 0| CE| 2503| 60| 706| 1060| 706| 1060| 42| 1:1:c;2:5:e;2p:15:e;1p:10:c| ZODIAC| | 1:ability_retaliate;2:ability_retaliate_plus| -15| -40| n;n;s| Ego| Alter| From the Gemini star sign, two shooting stars were seen to crash into each other before impacting in the desert near the arena. When sent to investigate scientists found an unsual sight awaiting them, the mysterious Geminium was discovered. Two mutants merged into one, it is no surprise that Geminium has chosen to join the arena!
Specimen_CF_02| Thor| 290| 2| CF| 1917| 180| 700| 1050| 700| 1050| 42| 1:1:c;2:5:f;2p:15:f;1p:10:c| LEGEND| | 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;n;s| Runic Hammer| Call Lightning| Using newly developed technology, Darwin and his team have been able to take samples from artifacts to create Mutant clones of past legends. The latest project has lead to the rebirth of one of the Strongest Gods from history.... The Hammer wielding Thor!
Specimen_DA_02| Arachno| 270| 80| DA| 2208| 60| 641| 808| 641| 808| 42| 1:1:d;2:5:a;2p:15:a;1p:10:d| PVP| DA_02x[A-F][A-F]_*+DA_02x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -80| n;n;s:20h| Cyber Web| Arach Attack| Be careful around this creep-crawly cyber arachnid. Her web attack has adhesive power 100 times more strong than a regular spider, easily rendering her opponents immobile and rather sticky. Watch out for her mechanical babies which, although small, can overcome in mass if not prepared.
Specimen_DB_02| Zombat| 85| 80| DB| 1145| 60| 162| 243| 162| 243| 42| 1:1:d;2:5:b;2p:15:b;1p:10:d| PVP| DB_02x[A-F][A-F]_*+DB_02x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -80| n;n;s:20h| Night Crawler| Sonar Smash| There is no mystery behind this undead flyer. His only motivation is attack, kill, annihilate and given his aerodynamic advantage this proves to be far too easily accomplished. But there are no brains behind this monster (except for the ones he craves) and his motivations can be easily understood and therefore effectively outsmarted.
Specimen_DC_02| Leohart| 240| 0| DC| 2155| 60| 799| 1314| 799| 1314| 42| 1:1:d;2:5:c;2p:15:c;1p:10:d| ZODIAC| | 1:ability_slash;2:ability_slash_plus| -20| -45| n;n;s| Lion's Pride| Hammer Flare| Many grew up hearing about the Legend of Leohart, a mighty king of lions who came down from the stars to wreak havoc on the world. Whether Leohart is truth or fiction is not important, because he has been recreated right here in the lab. With a mighty hammer that harnesses the power of the sun, Leohart can crush his enemies with one ferocious swing.
